show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
s42,Movie,g man ig,skar Thr Axelsson,"Jhannes Haukur Jhannesson, gsta Eva Erlendsdttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunnds Gumundsdttir, Sara Dgg sgeirsdttir, rstur Le Gunnarsson, Jhann Sigurarson, Sveinn Geirsson, Arnar Pll Hararson",Iceland,27-Mar-18,2017,TV-MA,106 min,"Horror Movies, International Movies"
s43,Movie,ok Filim Hareketler Bunlar,Ozan Aktan,"Aya Erturan, Aydan Ta, Ayegl Akdemir, Burcu Gnder, Blent Emrah Parlak, Bra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tural, Glhan Tekin, Glsm Alkan, Hamdi Kahraman, brahim Bykak, Metin Keeci",Turkey,10-Mar-17,2010,TV-MA,99 min,"Comedies, International Movies"
s44,Movie,ltr,Kenneth Gyang,"Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua",Nigeria,2-Oct-20,2020,TV-MA,107 min,"Dramas, International Movies"
s45,Movie,on Flux,Karyn Kusama,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen",United States,1-Feb-18,2005,PG-13,93 min,"Action & Adventure, Sci-Fi & Fantasy"
s47,Movie,1 Chance 2 Dance,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride",United States,1-Jul-17,2014,TV-PG,89 min,"Dramas, Romantic Movies"
s48,Movie,1 Mile to You,Leif Tilden,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote",United States,7-Jul-17,2017,TV-14,105 min,"Dramas, Romantic Movies, Sports Movies"
s49,Movie,10 Days in Sun City,Adze Ugah,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Nez Jr.","South Africa, Nigeria",18-Oct-19,2017,TV-14,87 min,"Comedies, International Movies, Romantic Movies"
s50,Movie,10 jours en or,Nicolas Brossette,"Franck Dubosc, Claude Rich, Marie Kremer, Mathis Tour, Rufus, Olivier Claverie",France,1-Jul-17,2012,TV-14,97 min,"Comedies, Dramas, International Movies"
s51,Movie,"10,000 B.C.",Roland Emmerich,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif","United States, South Africa",1-Jun-19,2008,PG-13,109 min,Action & Adventure
s55,Movie,100 Meters,Marcel Barrena,"Dani Rovira, Karra Elejalde, Alexandra Jimnez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer","Portugal, Spain",10-Mar-17,2016,TV-MA,109 min,"Dramas, International Movies, Sports Movies"
s58,Movie,100% Halal,Jastis Arimba,"Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih",Indonesia,7-Jan-21,2020,TV-14,101 min,"Dramas, International Movies"
s60,Movie,1000 Rupee Note,Shrihari Sathe,"Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad",India,1-Dec-16,2014,TV-14,89 min,"Dramas, International Movies"
s61,Movie,12 ROUND GUN,Sam Upton,"Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone",United States,14-Mar-19,2017,TV-MA,90 min,"Dramas, Independent Movies, Sports Movies"
s63,Movie,13 Cameras,Victor Zarcoff,"PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault",United States,13-Aug-16,2015,NR,90 min,"Horror Movies, Independent Movies, Thrillers"
s66,Movie,13 Sins,Daniel Stamm,"Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince",United States,13-Jan-19,2014,R,93 min,"Horror Movies, Thrillers"
s69,Movie,14 Blades,Daniel Lee,"Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu","Hong Kong, China, Singapore",3-Apr-19,2010,R,113 min,"Action & Adventure, International Movies"
s70,Movie,14 Cameras,"Scott Hussion, Seth Fuller","Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief",United States,27-Oct-18,2018,TV-MA,89 min,"Horror Movies, Thrillers"
s72,Movie,16 Blocks,Richard Donner,"Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz","United States, Germany",1-Nov-19,2006,PG-13,102 min,Action & Adventure
s73,Movie,17 Again,Burr Steers,"Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller",United States,1-Jan-21,2009,PG-13,102 min,Comedies
s74,Movie,18 Presents,Francesco Amato,"Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli",Italy,8-May-20,2020,TV-MA,114 min,"Dramas, Independent Movies, International Movies"
s75,Movie,1898: Our Last Men in the Philippines,Salvador Calvo,"Luis Tosar, Javier Gutirrez, lvaro Cervantes, Karra Elejalde, Carlos Hiplito, Ricardo Gmez, Patrick Criado, Eduard Fernndez, Miguel Herrn, Emilio Palacios",Spain,2-Jun-17,2016,R,130 min,"Dramas, International Movies"
s76,Movie,1BR,David Marmor,"Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips",United States,23-Aug-20,2019,TV-MA,90 min,"Horror Movies, Independent Movies, Thrillers"
s77,Movie,1st Summoning,Raymond Wood,"Hayley Lovitt, Teddy Cole, Brook Todd, Ace Harney, Jason Macdonald",United States,26-Jul-19,2018,TV-MA,94 min,"Horror Movies, Independent Movies"
s78,Movie,2 Alone in Paris,"Ramzy Bedia, ric Judor","Ramzy Bedia, ric Judor, Benot Magimel, Kristin Scott Thomas, lodie Bouchez, douard Baer, Fred Testot, Omar Sy",France,1-Jun-20,2008,TV-MA,97 min,"Comedies, International Movies"
s79,Movie,2 States,Abhishek Varman,"Alia Bhatt, Arjun Kapoor, Ronit Roy, Amrita Singh, Revathy, Aru Krishansh Verma",India,4-Aug-18,2014,TV-PG,143 min,"Comedies, Dramas, International Movies"
s80,Movie,20 Feet From Stardom,Morgan Neville,"Darlene Love, Merry Clayton, Lisa Fischer, Tta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega",United States,22-Sep-18,2013,PG-13,91 min,"Documentaries, Music & Musicals"
s83,Movie,2036 Origin Unknown,Hasraf Dulull,"Katee Sackhoff, Ray Fearon, Julie Cox, Steven Cree, David Tse, Joe David Walters",United Kingdom,20-Dec-18,2018,TV-14,95 min,Sci-Fi & Fantasy
s84,Movie,20th Century Women,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Lucas Jade Zumann, Billy Crudup",United States,28-Jun-19,2016,R,119 min,"Dramas, Independent Movies"
s85,Movie,21 & Over,"Jon Lucas, Scott Moore","Miles Teller, Skylar Astin, Justin Chon, Sarah Wright, Jonathan Keltz, Franois Chau, Russell Hodgkinson, Daniel Booko, Russell Mercado, Josie Loren, Dustin Ybarra",United States,16-Apr-19,2013,R,93 min,Comedies
s89,Movie,2307: Winter's Dream,Joey Curtis,"Paul Sidhu, Arielle Holmes, Branden Coles, Kelcey Watson, Anne-Solenne Hatte, Brad Potts, Timothy Lee DePriest, Fernando Argosino, Duchess Dukes, Harwood Gordon, Stormi Henley",United States,1-Mar-18,2016,TV-MA,101 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy"
s90,Movie,24 Hours to Live,Brian Smrz,"Ethan Hawke, Xu Qing, Paul Anderson, Rutger Hauer, Tyrone Keogh, Nathalie Boltt, Liam Cunningham","South Africa, China, United States",7-Apr-18,2017,R,93 min,Action & Adventure
s91,Movie,25 Kille,Simranjit Singh Hundal,"Guggu Gill, Yograj Singh, Sonia Mann, Jimmy Sharma, Sapna Bassi, Lakha Lakhwinder Singh, Sandeep Kaur Sandy, Sardar Sohi",India,1-Oct-18,2016,TV-14,140 min,"Action & Adventure, Dramas, International Movies"
s92,Movie,26 Years,Geun-hyun Cho,"Goo Jin, Hye-jin Han, Soo-bin Bae, Seul-ong Im, Kyeong-yeong Lee, Gwang Jang, Deok-jae Jo, Eui-sung Kim, Seok-Hwan An, Bok-gi Min",South Korea,1-Oct-17,2012,TV-MA,135 min,"Dramas, International Movies, Thrillers"
s93,Movie,"27, el club de los malditos",Nicanor Loreti,"Diego Capusotto, Sofa Gala, Daniel Aroz, Willy Toledo, El Polaco, Paula Manzone, Yayo Guridi, Guillermo Toledo",Argentina,1-May-18,2018,TV-MA,82 min,"Action & Adventure, Comedies, International Movies"
s94,Movie,27: Gone Too Soon,Simon Napier-Bell,"Janis Joplin, Jimi Hendrix, Amy Winehouse, Jim Morrison, Kurt Cobain",United Kingdom,1-May-18,2017,TV-MA,70 min,Documentaries
s95,Movie,28 Days,Betty Thomas,"Sandra Bullock, Viggo Mortensen, Dominic West, Diane Ladd, Elizabeth Perkins, Steve Buscemi, Alan Tudyk, Mike O'Malley, Azura Skye, Reni Santoni, Marianne Jean-Baptiste",United States,30-Sep-20,2000,PG-13,104 min,"Comedies, Dramas"
s97,Movie,3 Days to Kill,McG,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, Tmas Lemarquis, Richard Sammel, Marc Androni, Bruno Ricci, Jonas Bloquet, Eriq Ebouaney","United States, France, Serbia",1-Dec-20,2014,PG-13,117 min,Action & Adventure
s98,Movie,3 Deewarein,Nagesh Kukunoor,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla, Nagesh Kukunoor, Gulshan Grover, Aditya Lakhia, Shri Vallabh Vyas",N.I.L,31-Dec-19,2003,TV-MA,121 min,"Dramas, International Movies, Thrillers"
s99,Movie,3 Generations,Gaby Dellal,"Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan, Linda Emond, Jordan Carlos, Sam Trammell, Maria Dizzia, Tessa Albertson",United States,28-Aug-17,2015,PG-13,92 min,"Dramas, LGBTQ Movies"
s100,Movie,3 Heroines,Iman Brotoseno,"Reza Rahadian, Bunga Citra Lestari, Tara Basro, Chelsea Islan",Indonesia,5-Jan-19,2016,TV-PG,124 min,"Dramas, International Movies, Sports Movies"
s101,Movie,3 Idiots,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",India,1-Aug-19,2009,PG-13,164 min,"Comedies, Dramas, International Movies"
s103,Movie,3 Trken & ein Baby,Sinan Akku,"Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina Klber, Sami Nasser, Kayla Rybicka, Jytte-Merle Bhrnsen, Emrah Erdogru, Tim Grothe, Hlya Duyar",Germany,15-Dec-16,2015,TV-MA,93 min,"Comedies, International Movies"
s104,Movie,30 Days of Luxury,Hani Hamdi,"Taher Farouz, Sad Al-Saghir, Ahmad Faloks, Soleiman Eid, Mahmood El-Laithi, Hesham Ismail, Shaima Saif, Nermin Maher, Sofinar",Egypt,18-Apr-19,2016,TV-14,91 min,"Comedies, International Movies"
s105,Movie,30 Minutes or Less,Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Michael Pea, Bianca Kajlich, Fred Ward",United States,1-Jan-21,2011,R,83 min,"Action & Adventure, Comedies"
s107,Movie,365 Days,"Barbara Biaows, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, Bronisaw Wrocawski, Otar Saralidze, Magdalena Lamparska, Natasza Urbaska, Grayna Szapoowska, Tomasz Stockinger, Gianni Parisi, Mateusz asowski",Poland,7-Jun-20,2020,TV-MA,114 min,"Dramas, International Movies, Romantic Movies"
s108,Movie,37 Seconds,Hikari,"Mei Kayama, Misuzu Kanno, Shunsuke Daitoh, Makiko Watanabe, Yoshihiko Kumashino, Minori Hagiwara, Shohei Uno, Yuka Itaya, Kiyohiko Shibukawa, Eita Okuno, Haruka Imou, Toshinori Omi",Japan,31-Jan-20,2020,TV-MA,116 min,"Dramas, International Movies"
s110,Movie,40 Sticks,Victor Gatonye,"Robert Agengo, Mwaura Bilal, Andreo Kamau, Cajetan Boy, Arabron Nyyeneque, Shiviske Shivisi, Xavier Ywaya",Kenya,20-Nov-20,2019,TV-14,93 min,"International Movies, Thrillers"
s111,Movie,42 Grams,Jack C. Newell,Jake Bickelhaupt,United States,1-Feb-18,2017,TV-MA,81 min,Documentaries
s114,Movie,48 Christmas Wishes,"Marco Deufemia, Justin G. Dyck","Khiyla Aynne, Noah Dyer, Maya Franzoi, Clara Kushnir, Madeline Leon, Liam MacDonald, Matt Schichter, Ethan Yang, Adam Crew",Canada,20-Dec-17,2017,TV-G,84 min,"Children & Family Movies, Comedies"
s115,Movie,4L,Gerardo Olivares,"Jean Reno, Hovik Keuchkerian, Susana Abaitua, Juan Dos Santos, Arturo Valls, Enrique San Francisco, Francesc Garrido, Eric Nguyen",Spain,12-Jul-19,2019,TV-MA,105 min,"Comedies, Dramas, Independent Movies"
s116,Movie,4th Man Out,Andrew Nackman,"Evan Todd, Parker Young, Chord Overstreet, Jon Gabrus, Kate Flannery, Brooke Dillman, Jennifer Damiano, Jordan Lane Price, Alex Rennie, Jake Epstein",United States,5-May-16,2015,NR,86 min,"Comedies, LGBTQ Movies"
s117,Movie,4th Republic,Ishaya Bako,"Kate Henshaw-Nuttal, Enyinna Nwigwe, Linda Ejiofor, Yakubu Mohammed, Bimbo Manuel, Sani Muazu, Emil Hirai-Garuba, Rekiya Ibrahim Atta",Nigeria,13-Jun-20,2019,TV-MA,120 min,"Dramas, International Movies, Thrillers"
s118,Movie,5 Cowok Jagoan,Anggy Umbara,"Ario Bayu, Arifin Putra, Dwi Sasono, Muhadkly Acho, Cornelio Sunny, Tika Bravani, Nirina Zubir, Ganindra Bimo, Verdi Solaiman",N.I.L,5-Jan-19,2017,TV-MA,106 min,"Action & Adventure, Comedies, International Movies"
s119,Movie,5 Flights Up,Richard Loncraine,"Josh Pais, Claire van der Boom, Morgan Freeman, Diane Keaton, Carrie Preston, Cynthia Nixon, Korey Jackson, Diane Ciesla, Michael Cristofer",United States,17-Mar-19,2014,PG-13,92 min,"Comedies, Dramas, Independent Movies"
s120,Movie,5 Star Christmas,Marco Risi,"Massimo Ghini, Ricky Memphis, Martina Stella, Ralph Palka, Biagio Izzo, Riccardo Rossi, Paola Minaccioni",Italy,7-Dec-18,2018,TV-14,96 min,"Comedies, International Movies"
s121,Movie,5 to 7,Victor Levin,"Anton Yelchin, Brnice Marlohe, Olivia Thirlby, Lambert Wilson, Frank Langella, Glenn Close",United States,16-Mar-17,2014,R,97 min,"Comedies, Dramas, Romantic Movies"
s122,Movie,50 First Dates,Peter Segal,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph",United States,1-Dec-20,2004,PG-13,99 min,"Comedies, Romantic Movies"
s123,Movie,5050,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Marie Avgeropoulos, Jessica Parker Kennedy",United States,1-Jun-19,2011,R,100 min,"Comedies, Dramas, Independent Movies"
s124,Movie,5CM,Rizal Mantovani,"Herjunot Ali, Raline Shah, Fedi Nuril, Pevita Pearce, Saykoji, Denny Sumargo, Didi Petet, Firrina Sinatrya",Indonesia,28-Sep-18,2012,TV-14,126 min,"Dramas, International Movies"
s125,Movie,5Gang,Matei Dima,"Andrei Selaru, Dorian Popa, Julia Marcan, Ana Radu, Cosmin Nedelcu, Diana Condurache, Andrei Gavril, Luca Bogdan",Romania,27-Apr-20,2019,TV-14,96 min,"Comedies, International Movies"
s126,Movie,6 Balloons,Marja Lewis Ryan,"Abbi Jacobson, Dave Franco, Jane Kaczmarek, Tim Matheson, Charlotte Carel, Madeline Carel, Maya Erskine, Dawan Owens, Jen Tullock",United States,6-Apr-18,2018,TV-MA,75 min,"Dramas, Independent Movies"
s127,Movie,6 Days,Toa Fraser,"Jamie Bell, Abbie Cornish, Mark Strong, Martin Shaw, Ben Turner, Aymen Hamdouchi, Tim Pigott-Smith, Robert Portal, Colin Garlick, Andrew Grainger, Martin Hancock, Emun Elliott","New Zealand, United Kingdom",8-Feb-18,2017,R,94 min,"Action & Adventure, Dramas, International Movies"
s128,Movie,6 Underground,Michael Bay,"Ryan Reynolds, Mlanie Laurent, Corey Hawkins, Dave Franco, Adria Arjona, Manuel Garcia-Rulfo, Ben Hardy, Lior Raz, Payman Maadi, Yuri Kolokolnikov, Kim Kold",United States,13-Dec-19,2019,R,129 min,"Action & Adventure, Dramas"
s129,Movie,6 Years,Hannah Fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael",United States,8-Sep-15,2015,TV-MA,80 min,"Dramas, Independent Movies, Romantic Movies"
s130,Movie,Jun-52,Bharat Jain,"Prashantt Guptha, Gaurav Paswala, Gaurav Kothari, Disha Kapoor, Niharica Raizada, Ashrut Jain, Darshan Machamada",India,1-Nov-17,2014,TV-MA,103 min,"Horror Movies, International Movies, Thrillers"
s132,Movie,68 Kill,Trent Haaga,"Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand, Sam Eidson, James Moses Black, Ajay Mehta, Michael Beasley, David Maldonado, Hallie Grace Bradley, Peter Jaymes Jr., Eric Podnar, Lucy Faust",United States,1-Sep-19,2017,R,96 min,"Comedies, Independent Movies, Thrillers"
s133,TV Show,7 (Seven),Nizar Shafi,"Rahman, Havish, Regina Cassandra, Nandita Swetha, Anisha Ambrose, Tridha Choudhury, Pujitha Ponnada, Aditi Arya",India,30-Jul-19,2019,TV-14,1 Season,TV Shows
s134,Movie,7 aos,Roger Gual,"Paco Len, Juana Acosta, Juan Pablo Raba, Alex Brendemhl, Manuel Morn",Spain,27-Oct-16,2016,TV-MA,77 min,"Dramas, International Movies"
s136,Movie,7 Din Mohabbat In,"Meenu Gaur, Farjad Nabi","Mahira Khan, Sheheryar Munawar, Javed Sheikh, Hina Dilpazeer, Amna Ilyas, Mira Sethi, Rimal Ali, Salahuddin Tunio, Aamir Qureshi, Adnan Shah",Pakistan,15-May-19,2018,TV-PG,137 min,"Comedies, International Movies, Music & Musicals"
